0,"Deba Mitra",debal@gmail.com,"website review","Your content is very good keep It up"
1,"Arun Saha",arun123@gmail.com,"motivation quote","The Way Get Started Is To Quit Talking And Begin Doing"
2,"Winston Churchill",barundutta@gmail.com,"motivation quote","The Pessimist Sees Difficulty In Every Opportunity the Optimist Sees Opportunity In Every Difficulty"
3,"Will Rogers",123abc@gmail.com,"motivation quote","Do not Let Yesterday Take Up Too Much Of Today"
4,"Unknown Man",123abc@gmail.com,"motivation quote","You Learn More From Failure Than From Success do not Let It Stop You failure Builds Character"
5,"Og Mandino",123abc@gmail.com,"motivation quote","Failure Will Never Overtake Me If My Determination To Succeed Is Strong Enough"
6,"Henry Ford",123abc@gmail.com,"motivation quote","Whether You Think You Can Or Think You Can not You are Right"
7,"Albert Einstein",123abc@gmail.com,"motivation quote","Creativity Is Intelligence Having Fun"
8,"C S Lewis",123abc@gmail.com,"motivation quote","You Are Never Too Old To Set Another Goal Or To Dream A New Dream"
9,"Brian Tracy",123abc@gmail.com,"motivation quote","Reading Is To The Mind, As Exercise Is To The Body"
10,"Brian Tracy",123abc@gmail.com,"motivation quote","The Future Belongs To The Competent Get Good, Get Better, Be The Best"
11,"John Wooden",123abc@gmail.com,"motivation quote","Things Work Out Best For Those Who Make The Best Of How Things Work Out"
12,"Unknown Man",123abc@gmail.com,"motivation quote","Sometimes later becomes never Do it now"
13,"Unknown Man",123abc@gmail.com,"motivation quote","Great things never come from comfort zones"
14,"Unknown Man",123abc@gmail.com,"motivation quote","Success does not just find you You have to go out and get it"
15,"Unknown Man",123abc@gmail.com,"motivation quote","The harder you work for something the greater you will feel when you achieve it"
16,"Unknown Man",123abc@gmail.com,"motivation quote","Dream bigger Do bigger"
17,"Unknown Man",123abc@gmail.com,"motivation quote","Do not stop when you are tired Stop when you have done"
18,"Unknown Man",123abc@gmail.com,"motivation quote","Wake up with determination Go to bed with satisfaction"
19,"Unknown Man",123abc@gmail.com,"motivation quote","Do something today that your future self will thank you for"
20,"Winston Churchill",123abc@gmail.com,"motivation quote","Success is walking from failure to failure with no loss of enthusiasm"
21,Anonymous,123abc@gmail.com,"motivation quote","Successful entrepreneurs are givers and not takers of positive energy"
22,"Vaibhav Shah",123abc@gmail.com,"motivation quote","Whenever you see a successful person you only see the public glories never the private sacrifices to reach them"
23,"Henry Ford",123abc@gmail.com,"motivation quote","The whole secret of a successful life is to find out what is one's destiny to do, and then do it"
24,"Alpha Styne",123alpha@gmail.com,"website review","The good thing is, your work is successful, And Do not stop working"
25,Debarun,123abc@gmail.com,"website review","Think dream up do"
